mz;rt;intensity;pcgroup_precursorMZ
129.0550319;365.625648;2.477066883;5 _ 611.1620107
147.0648864;365.6680399;2.486481269;5 _ 611.1620107
303.050247;365.6704914;100;5 _ 611.1620107
304.0533278;365.6704914;15.96748468;5 _ 611.1620107
305.0541412;365.5534975;2.616296976;5 _ 611.1620107
449.1076557;365.7520661;0.466272127;5 _ 611.1620107
465.1026581;365.6826558;21.24082731;5 _ 611.1620107
466.1063749;365.7303947;4.903019858;5 _ 611.1620107
467.1096978;365.6095421;0.989785926;5 _ 611.1620107
611.1620107;365.7068855;12.50776035;5 _ 611.1620107
331.0993118;364.7427454;15.88400046;5 _ 633.1440585
633.1440585;364.1400789;100;5 _ 633.1440585
117.0576408;84.40105085;73.43276957;6 _ 132.0818476
130.0635063;84.65629226;79.42679107;6 _ 132.0818476
132.0818476;84.32915098;100;6 _ 132.0818476
117.0335758;302.3078791;100;7 _ 308.1953731
112.1123834;303.5775835;7.713891091;7 _ 470.2288391
117.0335758;302.3078791;11.96646392;7 _ 470.2288391
129.1378255;302.4048656;8.354250828;7 _ 470.2288391
135.0438073;303.372916;25.49229096;7 _ 470.2288391
145.0303329;303.329214;26.25757387;7 _ 470.2288391
146.1651956;302.9508474;9.019309632;7 _ 470.2288391
164.041694;303.2101141;32.88122888;7 _ 470.2288391
220.0958329;303.7445604;100;7 _ 470.2288391
221.0991019;303.7854888;23.7357273;7 _ 470.2288391
234.1110118;303.6121734;21.75150012;7 _ 470.2288391
237.1218955;303.6098793;7.158659592;7 _ 470.2288391
291.1690573;303.5765463;25.80376191;7 _ 470.2288391
292.1715435;302.9508474;6.313283655;7 _ 470.2288391
308.1953731;303.6587836;62.48466425;7 _ 470.2288391
309.1987072;303.803059;20.20651684;7 _ 470.2288391
453.2052548;303.245266;6.822762762;7 _ 470.2288391
470.2288391;303.6587836;35.37789202;7 _ 470.2288391
97.02794804;1188.415817;100;8 _ 205.0704912
98.0318784;1187.835729;5.302388716;8 _ 205.0704912
99.07946286;1188.697295;10.80428668;8 _ 205.0704912
127.0388262;1188.322709;22.14431351;8 _ 205.0704912
145.0490433;1188.528757;6.129405173;8 _ 205.0704912
97.02794804;1188.415817;100;8 _ 457.2802374
98.0318784;1187.835729;5.302388716;8 _ 457.2802374
99.07946286;1188.697295;10.80428668;8 _ 457.2802374
109.0277169;1187.523147;3.97703874;8 _ 457.2802374
127.0388262;1188.322709;22.14431351;8 _ 457.2802374
145.0490433;1188.528757;6.129405173;8 _ 457.2802374
187.0595388;1188.912261;10.04014943;8 _ 457.2802374
207.0750658;1189.103345;3.728998743;8 _ 457.2802374
225.1108324;1188.487524;6.882589318;8 _ 457.2802374
227.0509524;1188.914818;5.39123554;8 _ 457.2802374
341.1956578;1188.458646;22.47396713;8 _ 457.2802374
342.1977625;1188.571418;5.184863424;8 _ 457.2802374
371.0965607;1187.695862;4.272605383;8 _ 457.2802374
457.2802374;1188.471966;36.08761486;8 _ 457.2802374
97.02794804;1188.415817;52.07279409;8 _ 696.38272
99.07946286;1188.697295;5.626093958;8 _ 696.38272
109.0277169;1187.523147;2.070955194;8 _ 696.38272
127.0388262;1188.322709;11.53116278;8 _ 696.38272
139.039201;1188.44629;66.12410912;8 _ 696.38272
140.0525982;1188.759025;4.008336626;8 _ 696.38272
187.0595388;1188.912261;5.726323666;8 _ 696.38272
205.0704912;1188.446057;100;8 _ 696.38272
206.073685;1188.44629;8.852350964;8 _ 696.38272
207.0750658;1189.103345;1.941793837;8 _ 696.38272
